age,annual_income,employment_years,loan_amount,loan_term,credit_history_years,credit_accounts,late_payments,debt_to_income,credit_utilization,savings_balance,existing_loans,education_level,employment_type,home_ownership,default_risk
44,946163.27,9.1,450146.29,36,8.5,1,1,0.1128,0.3895,215137.64,1,High School,Salaried,Mortgage,0
21,593373.88,9.4,511243.22,36,5.6,9,2,0.5049,0.4995,123124.16,2,Postgraduate,Salaried,Own,1
28,412774.19,8.2,267914.7,12,1.8,5,2,0.4137,0.6396,210593.67,5,Graduate,Salaried,Own,1
44,2315358.65,6.9,677016.68,48,15.7,4,2,0.272,0.5841,254442.6,2,Graduate,Salaried,Own,0
31,451163.17,11.5,385124.94,48,2.5,9,1,0.1337,0.4797,135947.08,2,High School,Salaried,Own,1
37,1235065.11,1.4,224816.59,24,11.4,6,1,0.2469,0.4779,45119.83,3,High School,Salaried,Mortgage,0
28,1585384.22,6.3,375225.88,36,1.1,4,1,0.3729,0.3832,235702.2,2,High School,Salaried,Mortgage,1
55,274100.32,3.0,235275.96,60,8.8,6,2,0.115,0.5094,246071.03,4,Graduate,Self-employed,Own,0
55,676986.95,9.6,882772.94,60,6.0,2,3,0.4019,0.4149,57212.07,1,Graduate,Salaried,Own,1
53,488983.55,0.0,1548839.31,24,4.5,5,2,0.4528,0.4132,82112.79,4,Graduate,Salaried,Mortgage,1
25,467576.95,5.9,527622.03,36,7.8,4,1,0.2363,0.5751,136281.0,0,Graduate,Contract,Rent,1
59,882209.55,7.3,483754.47,24,7.2,2,0,0.1222,0.6442,28704.87,2,Graduate,Salaried,Rent,0
48,461459.18,2.2,496870.87,24,3.8,4,4,0.1682,0.145,317120.47,0,High School,Salaried,Own,0
27,494817.69,3.5,970391.6,60,3.6,5,0,0.2988,0.2905,121743.04,1,Postgraduate,Self-employed,Rent,1
29,592593.8,6.1,956902.91,48,0.7,2,2,0.2594,0.7333,226742.1,3,Graduate,Salaried,Own,1
28,529325.08,9.8,417411.59,48,8.2,7,2,0.3097,0.0839,76948.77,0,Graduate,Self-employed,Rent,1
32,340872.58,1.9,530293.72,12,2.0,3,2,0.3114,0.3991,904106.95,2,Graduate,Contract,Rent,1
54,1006989.98,2.6,687779.13,60,7.0,5,2,0.2827,0.5862,57770.91,1,Postgraduate,Salaried,Own,0
53,1157091.0,10.5,214809.32,36,9.4,5,2,0.3369,0.7812,120805.04,2,Postgraduate,Self-employed,Own,0
43,785218.94,4.9,989740.65,36,7.8,7,0,0.1737,0.5044,469760.9,2,High School,Salaried,Own,1
44,528407.84,2.9,1389762.73,36,4.1,4,0,0.5228,0.6524,71766.98,4,Graduate,Salaried,Rent,1
57,441027.16,8.9,959601.84,12,10.6,4,1,0.2367,0.8205,193595.63,2,High School,Salaried,Mortgage,1
55,441413.17,4.0,200259.0,48,5.4,3,1,0.4405,0.2837,297207.72,1,Postgraduate,Salaried,Rent,1
60,2376845.25,10.1,125054.21,36,1.7,8,1,0.3348,0.3926,53935.06,1,High School,Salaried,Rent,0
42,1088747.71,3.3,713309.01,24,5.9,3,1,0.1832,0.7265,105428.45,3,High School,Salaried,Rent,1
47,409489.73,5.4,274547.54,24,9.3,5,1,0.289,0.3111,209576.2,2,Postgraduate,Self-employed,Own,0
55,711628.62,9.8,542335.2,24,4.3,6,1,0.2746,0.4171,258685.55,0,Postgraduate,Salaried,Own,1
21,532497.44,5.1,1220595.64,12,10.5,3,0,0.2419,0.3283,93234.55,3,Graduate,Salaried,Own,1
55,896109.46,9.0,293602.47,36,3.9,6,1,0.5122,0.6002,784785.75,4,High School,Salaried,Mortgage,1
57,876465.09,5.7,352072.48,60,4.5,6,2,0.1778,0.5133,264465.75,0,Graduate,Salaried,Mortgage,0
34,1179631.84,13.9,538677.74,12,2.8,4,3,0.3787,0.2371,335049.62,0,Postgraduate,Salaried,Own,0
23,407143.75,12.3,193613.97,12,9.7,5,1,0.3779,0.6308,319688.85,0,Graduate,Self-employed,Rent,0
21,688542.32,0.7,274964.24,36,6.8,5,2,0.2493,0.3096,51537.56,1,High School,Salaried,Own,0
25,248457.43,8.1,457329.88,48,3.1,3,4,0.0807,0.6795,164209.13,2,High School,Salaried,Rent,1
46,325523.68,2.7,370166.13,36,5.4,4,0,0.3489,0.3611,177676.95,2,Postgraduate,Salaried,Own,1
34,1057039.99,6.8,668283.59,36,0.5,4,1,0.2063,0.1743,146858.49,2,Graduate,Self-employed,Own,0
59,385328.52,6.3,2716594.44,36,10.1,4,1,0.0967,0.6692,212496.02,1,Graduate,Salaried,Mortgage,1
47,409309.88,1.8,479952.67,24,6.3,7,4,0.3123,0.2335,33352.02,1,Graduate,Salaried,Mortgage,1
29,647047.32,10.2,260378.1,12,0.5,2,0,0.0985,0.4572,199422.47,4,Graduate,Self-employed,Own,0
35,952500.78,6.8,1131278.64,48,1.2,3,1,0.3006,0.5488,141217.95,5,Postgraduate,Salaried,Own,0
35,362678.81,4.9,160214.83,36,5.3,4,1,0.366,0.3674,33119.56,3,Graduate,Self-employed,Own,0
46,150000.0,4.2,182446.55,36,1.7,2,2,0.2224,0.2857,252369.71,0,Graduate,Self-employed,Rent,0
33,402763.52,6.6,305646.85,48,10.2,7,1,0.4548,0.083,69965.33,1,High School,Salaried,Mortgage,1
52,1261513.92,7.6,374417.4,48,8.7,5,2,0.2128,0.6077,132759.58,2,High School,Contract,Own,1
59,785010.14,5.5,300921.76,24,8.4,4,1,0.5554,0.7625,146853.75,1,Graduate,Self-employed,Rent,1
52,1346284.03,0.0,440876.4,36,0.5,10,1,0.1724,0.8488,41099.89,1,Postgraduate,Salaried,Mortgage,1
24,348791.21,6.1,537984.54,24,4.9,6,1,0.4193,0.5104,44946.7,3,Graduate,Salaried,Rent,0
50,263829.86,0.2,901510.13,24,4.2,7,0,0.3036,0.1783,278455.24,0,High School,Salaried,Rent,1
57,838298.35,5.2,477478.9,48,3.2,6,0,0.154,0.27,111041.31,1,High School,Salaried,Own,0
43,741729.68,0.4,312305.7,60,5.3,4,1,0.2363,0.4861,131450.66,1,Postgraduate,Salaried,Own,0
59,768950.99,0.3,870238.3,60,2.5,5,2,0.031,0.3607,190800.83,1,Graduate,Self-employed,Own,0
35,1085852.33,10.9,264471.24,36,7.9,6,1,0.1857,0.0576,44096.66,1,Postgraduate,Self-employed,Own,1
49,819667.75,4.7,155719.42,24,10.1,8,0,0.2603,0.3785,129903.58,1,Graduate,Self-employed,Rent,0
56,812456.23,4.4,985470.31,24,9.7,2,2,0.1862,0.3704,164755.34,1,Postgraduate,Self-employed,Own,0
33,963166.43,7.9,945252.6,48,6.4,7,1,0.0929,0.1563,738473.3,1,Postgraduate,Salaried,Own,0
52,856883.11,4.5,268876.89,36,15.0,4,2,0.2704,0.3926,86204.6,2,High School,Salaried,Mortgage,1
27,1041656.62,14.4,347176.51,36,11.6,6,1,0.1789,0.1665,338343.12,1,Graduate,Self-employed,Rent,0
42,1131906.68,4.9,247954.36,48,6.6,4,2,0.2708,0.5173,179741.76,0,High School,Salaried,Rent,1
48,1509299.94,7.5,556436.65,48,5.1,6,0,0.2628,0.357,72565.15,2,High School,Self-employed,Mortgage,0
22,454827.0,9.9,1387251.35,60,12.4,5,3,0.5485,0.1645,108484.13,2,Graduate,Salaried,Mortgage,1
26,846645.04,12.4,710607.87,12,11.0,7,0,0.6128,0.6669,359951.15,1,Graduate,Salaried,Mortgage,0
48,530221.32,3.0,882243.95,48,1.4,5,3,0.4185,0.4803,335141.64,1,Graduate,Salaried,Rent,1
48,410967.82,4.3,766681.15,60,11.3,7,2,0.4231,0.5971,118715.89,0,Graduate,Salaried,Own,1
40,444844.68,11.1,449965.15,36,6.4,6,0,0.3862,0.5153,236970.73,0,High School,Salaried,Own,1
50,853373.99,9.2,909976.58,48,3.6,3,0,0.4225,0.768,78519.35,1,High School,Salaried,Mortgage,1
31,818121.83,10.3,730345.31,36,0.5,2,1,0.5482,0.3235,156289.55,1,Graduate,Salaried,Rent,1
48,810133.44,0.5,1146979.56,60,5.9,2,1,0.0907,0.3005,127648.75,1,Graduate,Salaried,Rent,0
45,574115.08,12.2,333799.59,12,7.0,4,1,0.2433,0.7373,379319.43,0,Graduate,Salaried,Own,0
59,651221.92,3.0,145398.03,36,13.3,6,1,0.3011,0.2603,260663.66,1,Graduate,Salaried,Rent,0
53,1019162.35,6.8,887723.87,24,10.8,4,1,0.5445,0.2933,104805.17,2,Postgraduate,Contract,Own,0
21,286519.38,5.4,564871.22,48,4.7,6,4,0.2446,0.3599,113495.39,0,Graduate,Salaried,Mortgage,1
47,658869.52,2.5,371228.44,24,8.6,5,5,0.0776,0.4515,175865.04,1,High School,Salaried,Own,1
33,682968.16,0.3,384963.4,24,10.3,4,0,0.367,0.369,158210.65,2,Graduate,Self-employed,Own,0
23,983669.25,0.0,2367982.71,36,7.3,7,0,0.0314,0.4559,143931.58,1,Graduate,Contract,Mortgage,0
59,309307.44,6.5,296432.95,60,4.7,6,0,0.084,0.2508,135828.5,0,Graduate,Salaried,Rent,0
26,1479258.05,0.0,258423.69,24,4.9,7,4,0.4592,0.2841,542564.21,1,Graduate,Salaried,Rent,1
28,731040.67,1.5,475650.02,24,8.5,3,1,0.1947,0.4612,125388.96,2,Graduate,Salaried,Own,0
47,752643.49,5.1,969292.72,48,8.7,6,3,0.181,0.1232,228821.41,3,High School,Salaried,Rent,1
29,521241.52,0.0,1978726.78,36,5.8,7,1,0.3504,0.5627,1250241.42,0,Graduate,Self-employed,Rent,0
57,873828.96,9.1,689891.82,60,0.5,4,1,0.1982,0.5787,91447.56,4,High School,Contract,Own,1
53,667371.65,0.0,197054.81,24,1.8,6,2,0.362,0.7041,210004.87,1,Graduate,Self-employed,Mortgage,1
44,1263843.09,5.7,1620207.26,48,9.5,6,2,0.3402,0.5111,218881.1,2,Graduate,Contract,Mortgage,1
35,294167.85,6.1,444341.29,24,0.5,7,1,0.2559,0.0983,178409.1,3,Graduate,Salaried,Own,1
52,715887.17,8.2,261056.39,24,11.7,4,0,0.2376,0.5503,186017.74,0,Graduate,Contract,Rent,0
52,813750.78,5.8,223104.99,48,11.1,7,1,0.3359,0.398,89100.88,1,High School,Salaried,Rent,1
44,586672.97,14.1,774998.62,36,7.2,12,2,0.116,0.5307,239854.47,1,Postgraduate,Salaried,Own,1
32,520300.31,6.9,525571.73,48,9.4,6,2,0.2488,0.1735,41395.36,4,Graduate,Self-employed,Rent,0
59,532373.79,10.2,563150.31,36,9.1,7,0,0.1159,0.4152,758411.92,2,Graduate,Salaried,Rent,0
22,715530.31,3.1,1038439.73,36,6.5,6,1,0.2882,0.679,708668.8,1,High School,Salaried,Own,1
23,240205.54,6.5,267159.83,36,1.5,6,2,0.1621,0.5926,138320.21,1,High School,Self-employed,Own,1
57,1105143.63,12.2,1093619.47,60,10.9,3,3,0.3281,0.299,417530.76,0,Graduate,Salaried,Rent,1
37,499146.6,5.0,321113.72,36,12.6,11,3,0.2494,0.59,142346.12,3,Graduate,Salaried,Mortgage,0
22,697333.55,6.8,1836932.57,36,2.2,3,0,0.3752,0.4471,181418.2,1,High School,Salaried,Mortgage,1
22,795426.63,9.9,664096.81,36,1.4,3,1,0.0898,0.2968,104397.79,1,Graduate,Self-employed,Own,0
48,486764.0,3.0,247421.3,36,6.5,3,2,0.535,0.3226,346809.1,1,Graduate,Salaried,Rent,1
43,604802.06,0.0,120629.74,24,4.5,4,2,0.2943,0.3311,113060.8,3,Graduate,Salaried,Mortgage,1
57,212212.95,7.0,761316.1,60,7.6,4,3,0.1352,0.4771,337336.43,2,Graduate,Salaried,Own,1
52,972276.61,10.0,352845.54,24,11.8,4,1,0.1957,0.2209,174046.38,4,Postgraduate,Self-employed,Rent,0
53,1177336.91,0.6,406721.99,60,0.5,4,1,0.5136,0.6491,177533.59,0,High School,Self-employed,Own,0
21,255041.41,8.7,740462.5,24,13.3,8,2,0.4913,0.7868,54592.64,3,Graduate,Salaried,Own,1
39,519777.73,8.7,867847.99,48,5.4,6,2,0.4053,0.3793,188828.36,2,High School,Salaried,Own,1
22,330479.36,0.0,996908.81,60,9.0,7,1,0.0937,0.4224,71972.49,3,Graduate,Salaried,Own,1
46,589464.91,2.3,209683.81,24,9.5,2,0,0.1097,0.6355,189091.76,0,Graduate,Salaried,Own,0
52,928641.11,4.4,1136921.18,60,9.9,5,0,0.1316,0.2922,849604.94,0,High School,Salaried,Mortgage,0
26,1118777.96,5.3,308853.83,36,7.2,4,2,0.2985,0.3984,59223.24,2,Graduate,Salaried,Own,0
52,1204706.94,3.0,103822.75,60,8.2,8,1,0.196,0.8245,160041.4,1,Postgraduate,Self-employed,Rent,1
24,1336449.12,2.8,209193.85,48,8.2,5,1,0.1915,0.2422,108262.48,3,High School,Contract,Rent,0
31,575158.32,12.7,518512.37,36,4.5,4,1,0.3387,0.4285,78312.11,1,Graduate,Salaried,Rent,1
37,345898.41,5.6,238178.01,24,0.5,8,1,0.2799,0.4895,95580.01,1,Postgraduate,Salaried,Own,1
58,610298.2,3.2,424970.04,36,2.1,2,2,0.0491,0.338,583833.1,0,Graduate,Salaried,Rent,1
44,920824.52,5.8,560658.34,12,6.6,5,0,0.0912,0.3007,722087.02,0,Graduate,Salaried,Own,0
25,330954.03,8.1,399953.01,24,3.9,4,2,0.3518,0.4523,77935.45,2,Postgraduate,Salaried,Rent,0
54,1619783.35,6.2,326332.65,24,3.9,6,1,0.4957,0.4698,248063.37,2,High School,Salaried,Own,0
26,1065086.25,5.2,199595.96,36,14.2,3,1,0.338,0.0422,86294.18,0,High School,Salaried,Mortgage,0
42,580192.78,3.4,456464.56,48,10.4,5,2,0.4573,0.1288,104616.14,2,Graduate,Salaried,Rent,0
31,439656.09,3.4,117568.99,24,6.0,5,2,0.1009,0.3742,34937.87,2,Graduate,Self-employed,Own,0
36,449868.7,3.6,288111.87,24,9.7,5,1,0.0794,0.2289,990707.79,0,High School,Salaried,Mortgage,0
53,677077.53,7.4,246210.76,48,5.3,7,1,0.0298,0.3222,433378.6,1,Graduate,Salaried,Rent,0
29,572951.42,2.0,385157.61,24,7.4,9,0,0.4527,0.5584,106869.55,1,Graduate,Salaried,Mortgage,1
26,1096357.8,7.6,391734.07,12,8.8,6,1,0.3885,0.3845,226066.29,3,Postgraduate,Self-employed,Own,0
36,538256.74,11.7,839846.74,24,5.3,4,1,0.2496,0.7416,130708.74,2,Graduate,Salaried,Own,1
49,858338.34,7.3,1259547.51,60,4.3,5,1,0.3013,0.5879,383645.35,1,Postgraduate,Salaried,Rent,1
23,639741.17,4.5,217607.14,48,11.9,5,2,0.4971,0.6266,136996.04,2,Postgraduate,Self-employed,Mortgage,0
40,753923.2,0.8,1643508.87,36,9.5,5,1,0.1358,0.2771,154028.42,0,Graduate,Self-employed,Own,0
56,572745.42,12.3,271159.02,48,0.5,8,0,0.0333,0.2035,105986.77,2,Graduate,Self-employed,Own,0
39,959311.57,1.3,503402.47,36,4.3,6,1,0.1368,0.594,291800.77,0,Graduate,Salaried,Mortgage,1
46,967165.29,9.4,627227.01,48,3.9,6,3,0.0638,0.5003,1054075.69,1,High School,Self-employed,Own,1
23,837091.45,8.6,2204434.68,48,4.5,7,3,0.6281,0.0417,143387.34,3,Graduate,Self-employed,Rent,1
39,907873.67,5.1,316323.07,36,10.4,3,0,0.3541,0.4525,142077.54,3,Graduate,Self-employed,Rent,1
40,386669.2,4.9,139961.57,24,7.1,8,2,0.5058,0.2404,176415.92,1,Graduate,Salaried,Rent,0
52,776469.63,0.0,1185588.12,12,1.4,4,0,0.2851,0.6915,221655.43,4,Graduate,Salaried,Mortgage,1
27,1292111.96,7.3,261793.17,36,5.5,6,2,0.3089,0.2317,141708.93,1,Graduate,Self-employed,Rent,0
53,851708.96,8.5,355745.29,60,9.2,3,3,0.2257,0.4587,131518.53,0,Graduate,Contract,Own,0
60,368734.82,1.6,217611.27,36,6.1,5,0,0.4653,0.4369,192284.52,1,Graduate,Self-employed,Rent,0
59,632449.76,5.4,356412.99,60,4.4,7,1,0.272,0.6924,44349.52,2,High School,Self-employed,Mortgage,1
38,798879.59,6.2,260601.67,60,8.3,7,1,0.0985,0.7973,116167.85,3,Graduate,Salaried,Own,0
60,428547.95,8.3,698499.71,24,13.5,1,1,0.3855,0.4607,36312.51,2,Postgraduate,Salaried,Mortgage,0
21,307945.62,6.0,474263.06,48,8.8,1,0,0.267,0.4106,121367.04,1,Postgraduate,Self-employed,Mortgage,0
31,546272.83,0.0,289039.03,48,12.2,3,1,0.2668,0.6303,84297.21,3,High School,Self-employed,Mortgage,0
48,432470.68,3.9,859683.56,60,4.7,5,2,0.3567,0.5336,297240.68,1,Graduate,Self-employed,Rent,1
45,644911.69,6.9,531123.98,60,7.0,4,2,0.5654,0.2609,99961.52,0,Postgraduate,Contract,Rent,0
43,270886.47,9.4,135546.7,48,6.9,5,2,0.6012,0.4894,134363.22,0,High School,Salaried,Rent,1
51,886745.44,3.5,818157.4,24,7.5,4,2,0.5386,0.6711,32287.39,1,High School,Salaried,Own,1
50,458490.51,14.8,507456.86,48,8.8,9,2,0.3232,0.5397,407839.31,1,High School,Contract,Own,1
55,1123985.46,0.0,1111231.01,24,3.3,7,0,0.3888,0.4913,75477.68,1,Graduate,Salaried,Rent,0
27,558178.05,3.7,487745.58,48,9.6,4,3,0.1861,0.6292,122341.97,0,Graduate,Self-employed,Rent,1
36,640986.49,5.7,268979.86,60,0.5,1,2,0.3501,0.4185,335437.09,3,High School,Contract,Own,0
46,590992.41,5.2,394041.26,36,1.7,3,0,0.2511,0.3022,336443.93,3,Graduate,Salaried,Rent,0
22,445182.6,1.1,758843.18,48,15.5,4,5,0.094,0.866,74018.12,2,High School,Self-employed,Own,1
21,2531901.97,7.8,272671.7,36,5.0,7,2,0.3633,0.7634,274379.95,3,Graduate,Salaried,Rent,1
32,494845.68,7.5,338002.97,36,9.9,4,1,0.1256,0.2976,71806.42,1,Graduate,Self-employed,Own,1
25,1141283.97,6.2,389611.47,36,13.8,5,2,0.2117,0.8632,216763.06,1,Graduate,Salaried,Own,0
57,356194.33,7.3,213184.08,48,0.5,10,2,0.2152,0.4026,96115.55,0,High School,Self-employed,Own,1
